name	category	genericName	unit	stockQuantity	reorderLevel	costPrice	sellingPrice	expiryDate	active
3P			pcs	2	1	40	45	9/13/2028	yes
ABONIKI	Herbal Remedies		bottle	11	2	10	13	9/6/2028	yes
ABYVITA SYRUP	Vitamins & Supplements		bottle	1	50	25	30	9/6/2028	yes
ADOM KOO MIXTURE	Herbal Remedies		bottle	0	30	0	0	9/6/2028	yes
ADULT SUPER APEH	Analgesics		tablets	0	40	0	0	9/6/2028	yes
ADUSA CAP			pcs	4	11	30	35	9/13/2028	yes
ADUSA MIXTURE	Herbal Remedies		bottle	3	1	30	35	9/6/2028	yes
AGAEEN PREKESE GARLIC			pcs	4	2	60	65	9/13/2028	yes
ALBENDAZOLE	Anthelmintics		tablets	0	20	0	0	9/6/2028	yes
ALUDROX	Gastrointestinal		pcs	5	2	1	2	9/13/2028	yes
ALUSIL PLUS ANTACID	Gastrointestinal		tablets	0	40	0	0	9/6/2028	yes
AMOXY CLAV	Antibiotics		capsules	0	30	0	0	9/6/2028	yes
AMPICILLIN	Antibiotics		capsules	38	5	3	4	9/6/2028	yes
AMUZU GARLIC MIXTURE			pcs	8	2	40	45	9/13/2028	yes
AMUZU PEE	Herbal Remedies		pcs	5	1	35	40	9/13/2028	yes
ANDIGEL	Gastrointestinal		tube	0	20	0	0	9/6/2028	yes
ANNUAL GARLIC	Herbal Remedies		bottle	0	30	0	0	9/6/2028	no
ANNUAL PE	Herbal Remedies		bottle	0	30	0	0	9/6/2028	no
APETAMIN	Vitamins & Supplements		tablets	0	50	0	0	9/6/2028	no
APETAMIN	Vitamins & Supplements		bottle	5	2	43	50	9/6/2028	yes
APETATRUST JUNIOR	Vitamins & Supplements		bottle	1	20	20	25	9/6/2028	yes
ARJAN SUSP	Antimalarials		bottle	0	20	0	0	9/6/2028	yes
ARTEMETHER	Antimalarials		units	10	20	8	10	9/6/2028	yes
ASCOBIN TAB	Vitamins & Supplements		strip	30	10	1	2	9/12/2028	yes
ASMADRIN	Cardiovascular		pcs	20	2	0	2	9/13/2028	yes
ASMANOL	Cardiovascular		pcs	10	2	0	3	9/13/2028	yes
ATS	Injections		units	14	3	15	20	9/6/2028	yes
B'CO SYRUP	Vitamins & Supplements		pcs	8	2	8	10	9/12/2028	yes
BANDAGE (3 INCHES)	Medical Supplies		roll	0	30	0	0	9/6/2028	yes
BANDAGE (8 INCHES)	Medical Supplies		roll	0	30	0	0	9/6/2028	yes
BCO	Vitamins & Supplements		pcs	48	5	0	1	9/13/2028	yes
BILLINTUS	Respiratory		pcs	3	2	10	15	9/12/2028	yes
BILNCTUS BABY	Respiratory		bottle	0	20	0	0	9/6/2028	yes
BOAFO ONITMENT	Herbal Remedies		bottle	0	30	0	0	9/6/2028	yes
BONADOL INHALER	Respiratory		units	18	4	4	5	9/6/2028	yes
BORES SMALL	Herbal Remedies		bottle	0	30	0	0	9/6/2028	yes
BRONCHOLIN	Respiratory		bottle	0	20	0	0	9/6/2028	yes
BUNTEM SUSP	Antimalarials		bottle	0	20	0	0	9/6/2028	yes
BUSCOPAN	Gastrointestinal		tablets	0	20	8	10	9/6/2028	yes
BX FORTIFIED	Vitamins & Supplements		bottle	2	30	15	20	9/6/2028	yes
CALCIUM B-12	Vitamins & Supplements		bottle	5	20	8	10	9/6/2028	yes
CAP ABYVITA	Vitamins & Supplements		tablets	17	2	3	5	9/6/2028	yes
CAP AMOXICILLIN	Antibiotics		pcs	80	5	0	3	9/13/2028	yes
CAP BECOATIN	Vitamins & Supplements		pack	10	40	8	10	9/6/2028	yes
CAP DYNWELL	Vitamins & Supplements		pcs	9	10	0.5	1	9/12/2028	yes
CAP ESKARON	Vitamins & Supplements		pack	10	10	8	12	9/12/2028	yes
CAP FLUCLOXACIN	Antibiotics		pcs	10	4	5	6	9/13/2028	yes
CAP LETACAM	Analgesics		strip	65	30	1	2	9/6/2028	yes
CAP POLIFER	Vitamins & Supplements		pack	3	3	3	5	9/13/2028	yes
CAPS LEENA	Vitamins & Supplements		pcs	8	10	7	10	9/12/2028	yes
CARBON 16 ADULT	Gastrointestinal		bottle	2	2	10	15	9/6/2028	yes
CARBON 16 JNR	Gastrointestinal		bottle	23	3	10	15	9/6/2028	yes
CARTREF DS 80/40	Analgesics		tablets	10	3	13	15	9/6/2028	yes
CATACOLD	Analgesics		pcs	1	1	7	8	9/13/2028	yes
CEFUROXIME	Antibiotics		tablets	0	30	0	0	9/6/2028	yes
CETRIZINE	Antifungals		pcs	18	5	0	2	9/13/2028	yes
CHLORAMPHENICOL CAP	Antibiotics		capsules	65	30	4	5	9/6/2028	yes
CHLORAMPHINICOL EAR DROP	Antibiotics		bottle	6	3	8	10	9/13/2028	yes
CHLORAMPHINICOL EYE DROP	Antibiotics		bottle	10	3	8	10	9/13/2028	yes
CHLORDIAZEPOXIDE	Analgesics		pcs	15	7	0	4	9/13/2028	yes
CHOJO CREAM/SOAP	Skin Care		tube	2	1	12	13	9/6/2028	yes
CINTAMIN	Vitamins & Supplements		tablets	0	40	0	0	9/6/2028	no
CIPRO	Antibiotics		strip	18	5	8	10	9/6/2028	yes
CITY BLOOD TONIC	Vitamins & Supplements		bottle	0	30	0	0	9/6/2028	yes
CLASSIC OINT	Skin Care		tube	0	30	0	0	9/6/2028	yes
CLODOL	Analgesics		pack	46	5	4	5	9/13/2028	yes
CLOXACILLIN	Antibiotics		capsules	34	5	3	4	9/6/2028	yes
CO-THO SYRUP	Respiratory		bottle	0	20	0	0	9/6/2028	yes
CO-TRIMOXAZOLE	Antibiotics		tablets	0	30	0	0	9/6/2028	yes
COLDRID	Analgesics		pcs	34	5	1	2	9/13/2028	yes
COLDRID SYRUP	Respiratory		bottle	3	20	16	20	9/6/2028	yes
CORRANGE DROP	Vitamins & Supplements		bottle	0	20	0	0	9/6/2028	yes
CYFEN SYRUP	Vitamins & Supplements		bottle	5	1	30	35	9/6/2028	yes
DAUD CAPSULES	Herbal Remedies		capsules	0	30	0	0	9/6/2028	yes
DAUD OINTMENT			pcs	5	1	0	15	9/13/2028	yes
DEEP HEAT	Skin Care		tube	0	30	0	0	9/6/2028	yes
DELIVERY PAD	Medical Supplies		pack	3	30	20	25	9/6/2028	yes
DEMOCOT	Herbal Remedies		bottle	0	30	0	0	9/6/2028	yes
DERMIRON PLUS	Skin Care		tube	4	1	10	12	9/6/2028	yes
DEXON	Vitamins & Supplements		bottle	0	30	0	0	9/6/2028	yes
DICLO GEL	Analgesics		tube	6	2	12	15	9/6/2028	yes
